canonical_latin_name,slug,russian_common_name,aliases_abbreviations,source_file,source_section_heading,ru_source_exists,en_source_exists,needs_translation,candidate_status,notes
"Natrum Muriaticum","natrum-muriaticum","","Natrum Muriaticum; Natrum","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Расскажу вам про один интересный препарат - Natrum Muriaticum","yes","no","yes","confirmed","Canonical spelling follows the source heading."
"Ignatia Amara","ignatia-amara","","Ignatia Amara","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Расскажу про еще один препарат в гомеопатии — Ignatia Amara","yes","no","yes","confirmed","Canonical spelling follows the source heading."
"Cantharis","cantharis","Шпанская мушка","Cantharis; Шпанская мушка","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Шпанская мушка (Препарат Cantharis)","yes","no","yes","confirmed","Russian label is copied from the source heading."
"Opium","opium","","OPIUM; Opium","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Осваиваю работу нового интересного препарата - OPIUM","yes","no","yes","confirmed","Canonical spelling follows the source heading."
"Sulphur","sulphur","сера","Sulphur; сера; Мудрец огня","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Препарат Sulphur (сера)","yes","no","yes","confirmed","Three later source headings are recorded as duplicates."
"Baryta Carbonica","baryta-carbonica","карбонат бария","Baryta Carbonica; карбонат бария","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Baryta Carbonica (карбонат бария). #препараты","yes","no","yes","confirmed","A later source heading is recorded as a duplicate."
"Urtica Urens","urtica-urens","энергия крапивы","Urtica Urens; энергия крапивы","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Urtica Urens - препарат на основе энергии крапивы","yes","no","yes","confirmed","Russian wording is copied from the source heading."
"Ferrum Phosphoricum","ferrum-phosphoricum","железо","FERRUM PHOSPHORICUM; железо","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Препарат FERRUM PHOSPHORICUM (железо)","yes","no","yes","confirmed","Canonical capitalization is normalized from the source spelling only."
"Lachesis","lachesis","яд змеи","LACHESIS; яд змеи","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Препарат LACHESIS (яд змеи)","yes","no","yes","confirmed","Source gives no species-level Latin name."
"Gelsemium","gelsemium","","GELSEMIUM; Gelsemium","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","GELSEMIUM Препарат, ценный в ситуации слабости, страха, физического и эмоционального","yes","no","yes","confirmed","Canonical spelling follows the source heading."
"Pulsatilla","pulsatilla","","PULSATILLA; Pulsatilla","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","PULSATILLA Препарат, который подходят нежным, искренним людям, у которых душа ищет любви","yes","no","yes","confirmed","Canonical spelling follows the source heading."
"Rhus Toxicodendron","rhus-toxicodendron","","RHUS TOXICODENDRON; Rhus Toxicodendron","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","RHUS TOXICODENDRON Препарат полезен в ситуациях скованности. Как реакция на ограничения","yes","no","yes","confirmed","Canonical capitalization is normalized from the source spelling only."
"Arsenicum Album","arsenicum-album","","ARSENICUM ALBUM; Arsenicum Album","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","ARSENICUM ALBUM Один из базовых препаратов. Он лечит состояния беспричинной тревоги","yes","no","yes","confirmed","Canonical capitalization is normalized from the source spelling only."
"Calcarea Carbonica","calcarea-carbonica","","Calcarea Carbonica","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Calcarea Carbonica - еще один из моих любимых препаратов","yes","no","yes","confirmed","Canonical spelling follows the source heading."
"Kalium Sulphuricum","kalium-sulphuricum","","KALIUM SULPHURICUM; Kalium sulphuricum","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","KALIUM SULPHURICUM","yes","no","yes","confirmed","The second source heading is recorded as a duplicate."
"Coffea Cruda","coffea-cruda","","Coffea Cruda","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Coffea Cruda","yes","no","yes","confirmed","Canonical spelling follows the source heading."
"Avena Sativa","avena-sativa","энергия овса","Avena Sativa; энергия овса","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","Avena Sativa (энергия овса)","yes","no","yes","confirmed","Russian wording is copied from the source heading."
"Kalium Phosphoricum","kalium-phosphoricum","","KALIUM PHOSPHORICUM; Kalium Phosphoricum","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","KALIUM PHOSPHORICUM","yes","no","yes","confirmed","Canonical capitalization is normalized from the source spelling only."
"Antimonium Crudum","antimonium-crudum","Висмут","ANTIMONIUM CRUDUM; Висмут","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","ANTIMONIUM CRUDUM (Висмут)","yes","no","yes","confirmed","Russian label is copied verbatim and not independently normalized."
"Argentum Nitricum","argentum-nitricum","Нитрат серебра","ARGENTUM NITRICUM; Нитрат серебра","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","ARGENTUM NITRICUM (Нитрат серебра)","yes","no","yes","confirmed","Russian label is copied from the source heading."
"Causticum","causticum","","CAUSTICUM; Causticum","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","CAUSTICUM Еще один глубокий препарат, который возвращает чувство правды и достоинства","yes","no","yes","confirmed","Canonical spelling follows the source heading."
"Mezereum","mezereum","Вольчье лыко, кустарник","MEZEREUM; Вольчье лыко; кустарник","source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html","MEZEREUM (Вольчье лыко, кустарник). Препарат обожженного сердца","yes","no","yes","confirmed","Russian wording is copied from the source heading."
